date,name,subject,preview_text,from_label,from_email,status,send_time
2024-12-14,satin-steel-launch-edm-2,,,,,Sent,2024-12-14T12:00:00+00:00
2024-12-16,xmas-shipping-express-edm-1,,,,,Sent,2024-12-16T12:00:00+00:00
2024-12-17,xmas-packs-edm-3,,,,,Sent,2024-12-17T12:00:00+00:00
2024-12-18,xmas-packs-edm-4,,,,,Sent,2024-12-18T14:00:00+00:00
2024-12-19,xmas-shipping-express-edm-3,,,,,Sent,2024-12-19T11:00:00+00:00
2024-12-19,xmas-shipping-express-edm-2,,,,,Sent,2024-12-19T10:00:00+00:00
2024-12-26,boxing-offer-edm-1.5,,,,,Sent,2024-12-26T12:00:00+00:00
2024-12-26,boxing-offer-edm-1,,,,,Sent,2024-12-26T12:00:00+00:00
2024-12-28,boxing-offer-edm-2.5,,,,,Sent,2024-12-28T14:00:00+00:00
2024-12-28,boxing-offer-edm-2,,,,,Sent,2024-12-28T14:00:00+00:00
2024-12-30,2024-wrapped-edm-1,,,,,Sent,2024-12-30T19:00:00+00:00
2025-02-04,valentines-day-edm-1,,,,,Sent,2025-02-04T14:00:00+00:00
2025-02-06,valentines-day-edm-2,,,,,Sent,2025-02-06T19:00:00+00:00
2025-02-09,valentines-day-edm-3,,,,,Sent,2025-02-09T18:00:00+00:00
2025-02-18,a3-tote-teaser-edm-1,,,,,Sent,2025-02-18T19:00:00+00:00
2025-02-20,a3-tote-teader-edm-2,,,,,Sent,2025-02-20T20:00:00+00:00
2025-02-24,a3-tote-teaser-edm-3,,,,,Sent,2025-02-24T14:00:00+00:00
2025-02-25,a3-tote-launch-edm-4,,,,,Sent,2025-02-25T12:15:00+00:00
2025-02-27,a3-tote-launch-edm-5,,,,,Sent,2025-02-27T19:00:00+00:00
2025-03-01,a3-tote-launch-edm-6,,,,,Sent,2025-03-01T10:00:00+00:00
2025-03-06,a3-tote-launch-edm-7,,,,,Sent,2025-03-06T14:00:00+00:00
2025-03-11,copper-launch-edm-2,,,,,Sent,2025-03-11T23:00:00+00:00
2025-03-11,copper-launch-edm-1.5,,,,,Sent,2025-03-11T14:00:00+00:00
2025-03-11,copper-launch-edm-1,,,,,Sent,2025-03-11T14:00:00+00:00
2025-03-12,copper-launch-edm-3,,,,,Sent,2025-03-12T02:23:00+00:00
2025-03-13,copper-launch-edm-4,,,,,Sent,2025-03-13T01:00:00+00:00
2025-03-20,cool-grey-launch-edm-1,,,,,Sent,2025-03-20T01:39:47+00:00
2025-03-24,cool-grey-launch-edm-2,,,,,Sent,2025-03-24T20:00:00+00:00
2025-04-02,cherry-blossom-launch-edm-1,,,,,Sent,2025-04-02T23:03:44+00:00
2025-04-08,cherry-blossom-launch-edm-2,,,,,Sent,2025-04-08T14:00:00+00:00
2025-04-17,mothers-day-edm-opt-out,,,,,Sent,2025-04-17T19:00:00+00:00
2025-04-24,mothers-day-edm-2,,,,,Sent,2025-04-24T19:00:00+00:00
2025-04-30,mothers-day-edm-3,,,,,Sent,2025-04-30T19:00:00+00:00
2025-05-04,mothers-day-edm-4,,,,,Sent,2025-05-04T18:00:00+00:00
2025-06-19,eofys-edm-1a,,,,,Sent,2025-06-19T19:00:00+00:00
2025-06-22,world-rainforest-day-edm-1,,,,,Sent,2025-06-22T09:00:00+00:00
2025-06-24,eofys-edm-2,,,,,Sent,2025-06-24T19:00:00+00:00
2025-06-26,eofys-edm-3,,,,,Sent,2025-06-26T19:00:00+00:00
2025-06-30,eofys-edm-4,,,,,Sent,2025-06-30T12:30:00+00:00
2025-08-05,halfcut-edm-2,,,,,Sent,2025-08-05T19:00:00+00:00
2025-08-14,halfcut-edm-3,,,,,Sent,2025-08-14T09:00:00+00:00
2025-08-21,fathers-day-edm-1,,,,,Sent,2025-08-21T10:00:00+00:00
2025-08-26,fathers-day-edm-2,,,,,Sent,2025-08-26T10:00:00+00:00
2025-08-28,halfcut-edm-4,,,,,Sent,2025-08-28T10:00:00+00:00
2025-08-31,fathers-day-edm-3,,,,,Sent,2025-08-31T17:00:00+00:00
2025-09-06,fathers-day-edm-4,,,,,Sent,2025-09-06T00:00:00+00:00
2025-09-07,Win-back plain text email,,,,,Sent,2025-09-07T17:00:00+00:00
2025-09-07,Deliverability plain text email,,,,,Sent,2025-09-07T19:00:00+00:00
2025-09-18,50%-accessories-edm-1,,,,,Sent,2025-09-18T18:00:00+00:00
2025-10-02,50%-accessories-edm-2,,,,,Sent,2025-10-02T18:00:00+00:00
2025-10-10,holiday-giveaway,,,,,Sent,2025-10-10T18:00:00+00:00
2025-10-14,50%-accessories-edm-3,,,,,Sent,2025-10-14T18:00:00+00:00
2025-10-15,50%-accessories-edm-4,,,,,Sent,2025-10-15T18:00:00+00:00
2025-10-23,holiday-giveaway-edm-2,,,,,Sent,2025-10-23T19:00:00+00:00
2025-10-28,new-ss-colours-edm-1,,,,,Sent,2025-10-28T02:00:00+00:00
2025-10-28,new-ss-colours-edm-1,,,,,Cancelled,2025-10-28T10:00:00+00:00
2025-10-30,new-ss-colours-edm-2,,,,,Sent,2025-10-30T18:00:00+00:00
2025-11-01,Survey (Never made a purchase),,,,,Sent,2025-11-01T10:00:00+00:00
2025-11-01,Survey (Made a purchase),,,,,Sent,2025-11-01T10:00:00+00:00
2025-11-05,holiday-giveaway-edm-3,,,,,Sent,2025-11-05T18:00:00+00:00
2025-11-06,new-ss-colours-edm-3,,,,,Sent,2025-11-06T18:00:00+00:00
2025-11-08,Survey (Made a purchase) #2,,,,,Sent,2025-11-08T10:00:00+00:00
2025-11-08,Survey (Never made a purchase) #2,,,,,Sent,2025-11-08T10:00:00+00:00
2025-11-09,bfcm-hype-edm-1-not-engaged,,,,,Sent,2025-11-09T06:00:00+00:00
2025-11-09,bfcm-hype-edm-1-engaged,,,,,Sent,2025-11-09T06:00:00+00:00
2025-11-10,bfcm-launch-edm-1,,,,,Sent,2025-11-10T21:00:00+00:00
2025-11-12,bfcm-launch-edm-2,,,,,Sent,2025-11-12T22:00:00+00:00
2025-11-16,bfcm-launch-edm-4,,,,,Sent,2025-11-16T06:00:00+00:00
2025-11-16,bfcm-launch-edm-3,,,,,Sent,2025-11-16T06:00:00+00:00
2025-11-19,bfcm-lauch-edm-5,,,,,Sent,2025-11-19T07:00:00+00:00
2025-11-21,bfcm-launch-edm-6,,,,,Sent,2025-11-21T08:00:00+00:00
2025-11-22,bfcm-launch-edm-7,,,,,Sent,2025-11-22T23:00:00+00:00
2025-11-25,bfcm-launch-edm-8,,,,,Sent,2025-11-25T07:00:00+00:00
2025-11-27,bfcm-launch-edm-9,,,,,Sent,2025-11-27T21:00:00+00:00
2025-11-30,bfcm-launch-edm-10,,,,,Sent,2025-11-30T10:00:00+00:00
2025-12-01,bfcm-launch-edm-11,,,,,Sent,2025-12-01T01:00:00+00:00
2025-12-04,butter-yellow-edm-1,,,,,Sent,2025-12-04T07:00:00+00:00
2025-12-05,bfcm-launch-edm-12,,,,,Sent,2025-12-05T07:00:00+00:00
2025-12-06,butter-yellow-edm-2,,,,,Sent,2025-12-06T02:00:00+00:00
2025-12-07,christmas-gifting-edm-1,,,,,Sent,2025-12-07T06:00:00+00:00
2025-12-07,christmas-gifting-edm-1b,,,,,Sent,2025-12-07T06:00:00+00:00
2025-12-11,christmas-gifting-edm-2,,,,,Sent,2025-12-11T06:00:00+00:00
2025-12-16,christmas-gifting-edm-3,,,,,Sent,2025-12-16T18:00:00+00:00
2025-12-18,christmas-gifting-edm-4,,,,,Sent,2025-12-18T18:00:00+00:00
2025-12-25,boxing-day-edm-1,,,,,Sent,2025-12-25T23:00:00+00:00
2025-12-28,boxing-day-edm-2,,,,,Sent,2025-12-28T16:00:00+00:00
2025-12-30,thank-you-edm,,,,,Sent,2025-12-30T07:00:00+00:00
